"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R27,R25,R26,R23,R24";"R_0402_1005Metric";5;"22K";;;
2;"D7,D9,D8,D10,D6,D5";"D_SOD-123";6;"D_Zener";;;
3;"R31,R20,R17,R30,R18";"R_0402_1005Metric";5;"2K";;;
4;"R5,R15,R14,R6";"R_0402_1005Metric";4;"1K";;;
5;"R1,R11,R12,R10,R2,R9,R21,R7,R29,R13,R19,R8";"R_0402_1005Metric";12;"10K";;;
6;"J1";"GCT_USB4216-03-A_REVA";1;"USB4216-03-A_REVA";;;
7;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"~";;;
8;"C23,C26,C22,C27,C10,C24,C12,C25";"C_0402_1005Metric";8;"0.1uF";;;
9;"C14,C7,C9,C13,C19";"C_01005_0402Metric";5;"0.1uF";;;
10;"R4,R3";"R_0402_1005Metric";2;"5.1k";;;
11;"U5";"TPS73601DBVT";1;"~";;;
12;"C4,C3,C8,C5";"C_0603_1608Metric";4;"1uF";;;
13;"R22";"R_0402_1005Metric";1;"15K";;;
14;"D2,D4,D1";"LED_0805_2012Metric";3;"LED";;;
15;"U2";"DIP-14_W7.62mm";1;"~";;;
16;"C15,C16,C11,C1,C2";"C_0603_1608Metric";5;"10uF";;;
17;"C6";"C_0805_2012Metric";1;"10uF";;;
18;"U4,U12,U7,U3";"DIP-8_W7.62mm";4;"~";;;
19;"U1,U6";"DIP-16_W7.62mm";2;"~";;;
20;"U8";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
21;"D3";"LED_0603_1608Metric";1;"LED";;;
22;"U9";"TPS73733DCQ";1;"TPS73733DCQ";;;
23;"C21,C18,C17,C20";"C_01005_0402Metric";4;"100p";;;
24;"U10";"USBLC6-2P6";1;"~";;;
25;"C28";"C_0402_1005Metric";1;"10nF";;;
26;"J2";"PinHeader_1x18_P2.54mm_Vertical";1;"~";;;
27;"R32";"R_0402_1005Metric";1;"95.3K";;;
28;"J5,J4";"PinHeader_1x02_P2.54mm_Vertical";2;"~";;;
29;"R28";"R_0805_2012Metric";1;"1K";;;
30;"J3";"PinHeader_1x05_P2.54mm_Vertical";1;"~";;;
31;"R16";"R_0402_1005Metric";1;"23.2K";;;
32;"SW2,SW1";"SW_PTS810_SJM_250_SMTR_LFS";2;"PTS810_SJM_250_SMTR_LFS";;;
